C,epsilon,gamma,MEE_mean,MEE_std,seconds
0.1,0.001,0.0001,16.74978514014783,0.6514151584900517,0.1173861150000004
1.0,0.001,0.0001,15.612316386732644,0.6197003284693268,0.13385028999999982
10.0,0.001,0.0001,9.053809446778583,0.41399777152979883,0.1140984360000008
100.0,0.001,0.0001,5.527399022984663,0.16082853560431065,0.11715574299999965
1000.0,0.001,0.0001,5.170011064120625,0.09340415974748384,0.11765657699999998
0.1,0.001,0.001,15.63554886506129,0.6207228330813993,0.1167177989999999
1.0,0.001,0.001,9.095410321325101,0.4186622258694897,0.11925863899999989
10.0,0.001,0.001,5.433131206846417,0.15907436119952312,0.12083624599999965
100.0,0.001,0.001,4.644067523228921,0.06712411626673392,0.11554336299999868
1000.0,0.001,0.001,3.849089358438593,0.07636379653049377,0.1112418850000001
0.1,0.001,0.01,9.648565043742646,0.43566222080573797,0.11450642700000024
1.0,0.001,0.01,4.809139149861629,0.14593031658473618,0.10124213799999993
10.0,0.001,0.01,3.698070280996221,0.0912688195990475,0.11238703499999936
100.0,0.001,0.01,3.3532188510850367,0.12209026964690706,0.113115564000001
1000.0,0.001,0.01,3.2335637708835008,0.1465120066123278,0.12340956299999917
0.1,0.001,0.1,5.633035242817913,0.32302043274446557,0.123174487
1.0,0.001,0.1,3.2061700294455995,0.1819676212130759,0.11948310100000015
10.0,0.001,0.1,2.9589948008578815,0.1717390825810108,0.12103806599999878
100.0,0.001,0.1,3.1238819380692626,0.16736159467251613,0.1289469289999996
1000.0,0.001,0.1,3.800438310770295,0.15911009508497911,0.09058831000000112
0.1,0.001,1.0,15.372620053120693,0.6257713567677028,0.06682901699999988
1.0,0.001,1.0,8.392088166390364,0.3604966813651482,0.0865097489999993
10.0,0.001,1.0,5.008156047692623,0.19821001272122482,0.12868163899999985
100.0,0.001,1.0,4.947465694739761,0.141169559091774,0.11251425000000026
1000.0,0.001,1.0,4.947465694739761,0.141169559091774,0.11633224900000094
