C,epsilon,coeff,MEE_mean,MEE_std,seconds,gamma
0.0001,0.001,1.0,16.878786484888668,0.6538973718702327,1.5119764804840088,0.001
0.0001,0.001,1.0,16.87631938710601,0.6537984202588287,0.8433833122253418,0.01
0.0001,0.001,1.0,16.788597028549205,0.6536775665604642,0.8385770320892334,1.0
0.0001,0.001,1.0,16.78689126397395,0.6539103981472546,0.5913128852844238,10.0
0.001,0.001,1.0,16.876310854195182,0.6537997554824382,0.831585168838501,0.001
0.001,0.001,1.0,16.851567349122735,0.6535681987685014,0.8345749378204346,0.01
0.001,0.001,1.0,16.0017574119179,0.6342959574944678,0.8498921394348145,1.0
0.001,0.001,1.0,15.984659651661724,0.6357427086700125,0.6163003444671631,10.0
0.01,0.001,1.0,16.85148231726408,0.6535666488031174,0.8366613388061523,0.001
0.01,0.001,1.0,16.608242865983964,0.6467469298456026,0.8630404472351074,0.01
0.01,0.001,1.0,11.574294079334662,0.5353277364283374,0.826251745223999,1.0
0.01,0.001,1.0,11.377397872007988,0.538160881960062,0.5980234146118164,10.0
0.1,0.001,1.0,16.60729007156958,0.6468322594774043,0.8294126987457275,0.001
0.1,0.001,1.0,14.29064094751595,0.5789221169929254,0.8464450836181641,0.01
0.1,0.001,1.0,16.81775052741318,0.32730942450720746,0.8681166172027588,1.0
0.1,0.001,1.0,16.88321217704498,0.18125523589838913,0.6042389869689941,10.0
